Timestamp,Title,Severity,ServiceSource,DetectionSource,AttackTechniques
29-03-26 15:00,AMNDA-S0: Port Scanning Detection,Medium,Microsoft Sentinel,Scheduled Alerts,
29-03-26 15:00,AMNDA-S0: Excessive Inbound Requests,Medium,Microsoft Sentinel,Scheduled Alerts,
29-03-26 14:55,AMNDA-S0: Port Scanning Detection,Medium,Microsoft Sentinel,Scheduled Alerts,
29-03-26 14:50,AMNDA-S0: Excessive Inbound Requests,Medium,Microsoft Sentinel,Scheduled Alerts,
29-03-26 14:50,AMNDA-S0: Excessive Inbound Requests,Medium,Microsoft Sentinel,Scheduled Alerts,
29-03-26 12:30,AMNDA-S3: Lateral Movement Detected,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:40,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:40,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:40,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:40,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:40,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:30,AMNDA-S1: Multiple Failed Logins,Medium,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:07,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:07,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 21:07,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 20:55,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 20:55,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 20:55,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 20:17,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 20:17,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 19:51,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 19:48,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 19:30,AMNDA-S1: Multiple Failed Logins,Medium,Microsoft Sentinel,Scheduled Alerts,
28-03-26 19:30,AMNDA-S1: Multiple Failed Logins,Medium,Microsoft Sentinel,Scheduled Alerts,
28-03-26 18:30,AMNDA-S1: Multiple Failed Logins,Medium,Microsoft Sentinel,Scheduled Alerts,
28-03-26 18:30,AMNDA-S1: Multiple Failed Logins,Medium,Microsoft Sentinel,Scheduled Alerts,
28-03-26 15:53,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 15:26,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
28-03-26 14:27,AMNDA-S2: Privilege Escalation,High,Microsoft Sentinel,Scheduled Alerts,
